timestamp,date,time,weekday,rank,summary,distance_km,duration_min,traffic_min,delay_min
2026-05-06T16:49:16.000410,2026-05-06,16:49,Wednesday,1,S Maryland Pkwy,13.1,19.8,21.8,2.0
2026-05-06T16:49:16.000410,2026-05-06,16:49,Wednesday,2,Bermuda Rd,14.49,21.6,22.7,1.1
2026-05-06T16:49:16.000410,2026-05-06,16:49,Wednesday,3,S Eastern Ave,13.57,23.1,24.4,1.4
2026-05-07T07:01:30.616973,2026-05-07,07:01,Thursday,1,S Maryland Pkwy,13.1,19.8,19.9,0.0
2026-05-07T07:01:30.616973,2026-05-07,07:01,Thursday,2,S Spencer St,12.65,19.9,20.4,0.5
2026-05-07T07:01:30.616973,2026-05-07,07:01,Thursday,3,S Eastern Ave,13.07,23.1,21.7,-1.4
2026-05-07T07:06:31.322027,2026-05-07,07:06,Thursday,1,S Spencer St,12.65,19.9,20.2,0.3
2026-05-07T07:06:31.322027,2026-05-07,07:06,Thursday,2,S Eastern Ave,13.07,23.1,21.4,-1.8
2026-05-07T07:06:31.322027,2026-05-07,07:06,Thursday,3,I-15 S,27.18,24.6,26.8,2.1
2026-05-07T07:11:31.858367,2026-05-07,07:11,Thursday,1,S Maryland Pkwy,13.1,19.8,20.1,0.3
2026-05-07T07:11:31.858367,2026-05-07,07:11,Thursday,2,S Spencer St,12.65,19.9,20.2,0.3
2026-05-07T07:11:31.858367,2026-05-07,07:11,Thursday,3,S Eastern Ave,13.07,23.1,21.4,-1.8
2026-05-07T07:16:32.327870,2026-05-07,07:16,Thursday,1,S Spencer St,12.65,19.9,20.1,0.2
2026-05-07T07:16:32.327870,2026-05-07,07:16,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T07:16:32.327870,2026-05-07,07:16,Thursday,3,S Eastern Ave,13.07,23.1,21.8,-1.4
2026-05-07T07:21:32.923748,2026-05-07,07:21,Thursday,1,S Maryland Pkwy,13.1,19.8,20.1,0.3
2026-05-07T07:21:32.923748,2026-05-07,07:21,Thursday,2,S Spencer St,12.65,19.9,20.2,0.3
2026-05-07T07:21:32.923748,2026-05-07,07:21,Thursday,3,S Eastern Ave,13.07,23.1,22.1,-1.1
2026-05-07T07:26:33.442962,2026-05-07,07:26,Thursday,1,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T07:26:33.442962,2026-05-07,07:26,Thursday,2,S Spencer St,12.65,19.9,20.4,0.5
2026-05-07T07:26:33.442962,2026-05-07,07:26,Thursday,3,S Eastern Ave,13.07,23.1,22.5,-0.6
2026-05-07T07:31:33.981325,2026-05-07,07:31,Thursday,1,S Maryland Pkwy,13.1,19.8,20.3,0.5
2026-05-07T07:31:33.981325,2026-05-07,07:31,Thursday,2,S Spencer St,12.65,19.9,20.5,0.7
2026-05-07T07:31:33.981325,2026-05-07,07:31,Thursday,3,S Eastern Ave,13.57,23.1,22.1,-1.0
2026-05-07T07:36:34.530541,2026-05-07,07:36,Thursday,1,S Maryland Pkwy,13.1,19.8,20.5,0.7
2026-05-07T07:36:34.530541,2026-05-07,07:36,Thursday,2,S Spencer St,12.65,19.9,20.6,0.8
2026-05-07T07:36:34.530541,2026-05-07,07:36,Thursday,3,S Eastern Ave,13.07,23.1,23.1,-0.1
2026-05-07T07:41:35.042676,2026-05-07,07:41,Thursday,1,S Spencer St,12.65,19.9,20.4,0.6
2026-05-07T07:41:35.042676,2026-05-07,07:41,Thursday,2,S Maryland Pkwy,13.1,19.8,20.6,0.8
2026-05-07T07:41:35.042676,2026-05-07,07:41,Thursday,3,S Eastern Ave,13.57,23.1,22.6,-0.5
2026-05-07T07:46:35.532387,2026-05-07,07:46,Thursday,1,S Spencer St,12.65,19.9,20.3,0.5
2026-05-07T07:46:35.532387,2026-05-07,07:46,Thursday,2,S Maryland Pkwy,13.1,19.8,20.5,0.7
2026-05-07T07:46:35.532387,2026-05-07,07:46,Thursday,3,S Eastern Ave,13.57,23.1,22.7,-0.3
2026-05-07T07:51:36.130762,2026-05-07,07:51,Thursday,1,S Spencer St,12.65,19.9,20.5,0.6
2026-05-07T07:51:36.130762,2026-05-07,07:51,Thursday,2,S Maryland Pkwy,13.1,19.8,20.6,0.8
2026-05-07T07:51:36.130762,2026-05-07,07:51,Thursday,3,S Eastern Ave,13.57,23.1,22.7,-0.3
2026-05-07T07:56:36.590483,2026-05-07,07:56,Thursday,1,S Spencer St,12.65,19.9,20.4,0.6
2026-05-07T07:56:36.590483,2026-05-07,07:56,Thursday,2,S Maryland Pkwy,13.1,19.8,20.7,0.9
2026-05-07T07:56:36.590483,2026-05-07,07:56,Thursday,3,S Eastern Ave,13.57,23.1,22.8,-0.2
2026-05-07T08:01:37.181127,2026-05-07,08:01,Thursday,1,S Spencer St,12.65,19.9,20.4,0.5
2026-05-07T08:01:37.181127,2026-05-07,08:01,Thursday,2,S Maryland Pkwy,13.1,19.8,20.4,0.6
2026-05-07T08:01:37.181127,2026-05-07,08:01,Thursday,3,S Eastern Ave,13.57,23.1,22.9,-0.2
2026-05-07T08:06:37.787532,2026-05-07,08:06,Thursday,1,S Spencer St,12.65,19.9,19.9,0.1
2026-05-07T08:06:37.787532,2026-05-07,08:06,Thursday,2,S Maryland Pkwy,13.1,19.8,20.1,0.3
2026-05-07T08:06:37.787532,2026-05-07,08:06,Thursday,3,S Eastern Ave,13.57,23.1,22.1,-0.9
2026-05-07T08:11:38.401691,2026-05-07,08:11,Thursday,1,S Spencer St,12.65,19.9,19.9,0.0
2026-05-07T08:11:38.401691,2026-05-07,08:11,Thursday,2,S Maryland Pkwy,13.1,19.8,20.0,0.1
2026-05-07T08:11:38.401691,2026-05-07,08:11,Thursday,3,S Eastern Ave,13.57,23.1,22.2,-0.8
2026-05-07T08:16:38.897879,2026-05-07,08:16,Thursday,1,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-07T08:16:38.897879,2026-05-07,08:16,Thursday,2,S Maryland Pkwy,13.1,19.8,20.1,0.2
2026-05-07T08:16:38.897879,2026-05-07,08:16,Thursday,3,S Eastern Ave,13.56,22.9,22.4,-0.6
2026-05-07T08:21:39.544965,2026-05-07,08:21,Thursday,1,S Spencer St,12.65,19.9,19.9,0.0
2026-05-07T08:21:39.544965,2026-05-07,08:21,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T08:21:39.544965,2026-05-07,08:21,Thursday,3,S Eastern Ave,13.57,23.1,22.1,-0.9
2026-05-07T08:26:40.052775,2026-05-07,08:26,Thursday,1,S Spencer St,12.65,19.9,19.8,-0.1
2026-05-07T08:26:40.052775,2026-05-07,08:26,Thursday,2,S Maryland Pkwy,13.1,19.8,20.2,0.4
2026-05-07T08:26:40.052775,2026-05-07,08:26,Thursday,3,S Eastern Ave,13.56,22.9,22.2,-0.8
2026-05-07T08:31:40.553039,2026-05-07,08:31,Thursday,1,S Spencer St,12.65,19.9,20.1,0.2
